Country,Limiting Magnitude,Date,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Park
United States - New Mexico,3,2015-02-12,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - New York,4,2009-03-17,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - North Carolina,5,2015-12-27,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Ohio,4,2011-03-01,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Oklahoma,5,2013-02-07,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Oregon,3,2015-05-13,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Pennsylvania,5,2011-03-02,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - South Carolina,4,2014-02-20,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Tennessee,2,2016-02-04,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Texas,6,2008-03-04,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Utah,-999,2014-05-26,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Virginia,5,2011-04-03,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Washington,3,2013-01-10,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Wisconsin,4,2012-03-15,36.0664,-112.146,36.107,-112.113,Grand Canyon National Park
United States - Arizona,6,2014-02-17,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Arkansas,3,2014-03-29,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - California,6,2016-04-02,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Colorado,5,2008-02-25,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Connecticut,4,2013-02-04,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Florida,5,2007-03-11,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Georgia,4,2013-03-03,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Illinois,4,2012-04-11,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Indiana,4,2015-07-04,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Iowa,2,2009-03-21,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Kansas,3,2009-03-20,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Louisiana,2,2015-07-14,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Maine,4,2012-03-16,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Maryland,4,2018-11-06,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Massachusetts,4,2017-11-15,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Michigan,5,2006-03-28,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Missouri,3,2016-08-10,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - Nevada,3,2010-03-17,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - New Hampshire,3,2009-03-20,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - New Jersey,4,2008-03-04,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - New Mexico,3,2013-01-11,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - New York,4,2007-03-14,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
United States - North Carolina,5,2015-12-29,36.0619,-112.147,36.107,-112.113,Grand Canyon National Park
